Comunidades autónomas;Tipología penal;periodo;Total
NAVARRA (COMUNIDAD FORAL DE);5.3.1.-Robos con violencia en vía pública;2017;87
NAVARRA (COMUNIDAD FORAL DE);5.3.1.-Robos con violencia en vía pública;2016;64
NAVARRA (COMUNIDAD FORAL DE);5.3.1.-Robos con violencia en vía pública;2015;58
NAVARRA (COMUNIDAD FORAL DE);5.3.1.-Robos con violencia en vía pública;2014;35
NAVARRA (COMUNIDAD FORAL DE);5.3.1.-Robos con violencia en vía pública;2013;28
NAVARRA (COMUNIDAD FORAL DE);5.3.1.-Robos con violencia en vía pública;2012;34
NAVARRA (COMUNIDAD FORAL DE);5.3.1.-Robos con violencia en vía pública;2011;26
NAVARRA (COMUNIDAD FORAL DE);5.3.1.-Robos con violencia en vía pública;2010;40
NAVARRA (COMUNIDAD FORAL DE);5.3.2.-Robos con violencia en viviendas;2023;12
NAVARRA (COMUNIDAD FORAL DE);5.3.2.-Robos con violencia en viviendas;2022;14
NAVARRA (COMUNIDAD FORAL DE);5.3.2.-Robos con violencia en viviendas;2021;9
NAVARRA (COMUNIDAD FORAL DE);5.3.2.-Robos con violencia en viviendas;2020;9
NAVARRA (COMUNIDAD FORAL DE);5.3.2.-Robos con violencia en viviendas;2019;13
NAVARRA (COMUNIDAD FORAL DE);5.3.2.-Robos con violencia en viviendas;2018;5
NAVARRA (COMUNIDAD FORAL DE);5.3.2.-Robos con violencia en viviendas;2017;9
NAVARRA (COMUNIDAD FORAL DE);5.3.2.-Robos con violencia en viviendas;2016;10
NAVARRA (COMUNIDAD FORAL DE);5.3.2.-Robos con violencia en viviendas;2015;7
NAVARRA (COMUNIDAD FORAL DE);5.3.2.-Robos con violencia en viviendas;2014;8
NAVARRA (COMUNIDAD FORAL DE);5.3.2.-Robos con violencia en viviendas;2013;11
NAVARRA (COMUNIDAD FORAL DE);5.3.2.-Robos con violencia en viviendas;2012;6
NAVARRA (COMUNIDAD FORAL DE);5.3.2.-Robos con violencia en viviendas;2011;2
NAVARRA (COMUNIDAD FORAL DE);5.3.2.-Robos con violencia en viviendas;2010;2
NAVARRA (COMUNIDAD FORAL DE);5.3.3.-Robos con violencia en establecimientos;2023;31
NAVARRA (COMUNIDAD FORAL DE);5.3.3.-Robos con violencia en establecimientos;2022;30
NAVARRA (COMUNIDAD FORAL DE);5.3.3.-Robos con violencia en establecimientos;2021;30
NAVARRA (COMUNIDAD FORAL DE);5.3.3.-Robos con violencia en establecimientos;2020;20
NAVARRA (COMUNIDAD FORAL DE);5.3.3.-Robos con violencia en establecimientos;2019;24
NAVARRA (COMUNIDAD FORAL DE);5.3.3.-Robos con violencia en establecimientos;2018;18
NAVARRA (COMUNIDAD FORAL DE);5.3.3.-Robos con violencia en establecimientos;2017;27
NAVARRA (COMUNIDAD FORAL DE);5.3.3.-Robos con violencia en establecimientos;2016;18
NAVARRA (COMUNIDAD FORAL DE);5.3.3.-Robos con violencia en establecimientos;2015;47
NAVARRA (COMUNIDAD FORAL DE);5.3.3.-Robos con violencia en establecimientos;2014;22
NAVARRA (COMUNIDAD FORAL DE);5.3.3.-Robos con violencia en establecimientos;2013;31
NAVARRA (COMUNIDAD FORAL DE);5.3.3.-Robos con violencia en establecimientos;2012;25
NAVARRA (COMUNIDAD FORAL DE);5.3.3.-Robos con violencia en establecimientos;2011;12
NAVARRA (COMUNIDAD FORAL DE);5.3.3.-Robos con violencia en establecimientos;2010;25
PAÍS VASCO;1.1.1.-Homicidios dolosos/asesinatos consumados;2023;1
PAÍS VASCO;1.1.1.-Homicidios dolosos/asesinatos consumados;2022;0
PAÍS VASCO;1.1.1.-Homicidios dolosos/asesinatos consumados;2021;0
PAÍS VASCO;1.1.1.-Homicidios dolosos/asesinatos consumados;2020;0
PAÍS VASCO;1.1.1.-Homicidios dolosos/asesinatos consumados;2019;0
PAÍS VASCO;1.1.1.-Homicidios dolosos/asesinatos consumados;2018;0
PAÍS VASCO;1.1.1.-Homicidios dolosos/asesinatos consumados;2017;1
PAÍS VASCO;1.1.1.-Homicidios dolosos/asesinatos consumados;2016;0
PAÍS VASCO;1.1.1.-Homicidios dolosos/asesinatos consumados;2015;0
PAÍS VASCO;1.1.1.-Homicidios dolosos/asesinatos consumados;2014;1
PAÍS VASCO;1.1.1.-Homicidios dolosos/asesinatos consumados;2013;0
PAÍS VASCO;1.1.1.-Homicidios dolosos/asesinatos consumados;2012;0
PAÍS VASCO;1.1.1.-Homicidios dolosos/asesinatos consumados;2011;0
PAÍS VASCO;1.1.1.-Homicidios dolosos/asesinatos consumados;2010;0
PAÍS VASCO;1.2.-Lesiones;2023;9
PAÍS VASCO;1.2.-Lesiones;2022;12
PAÍS VASCO;1.2.-Lesiones;2021;6
PAÍS VASCO;1.2.-Lesiones;2020;5
PAÍS VASCO;1.2.-Lesiones;2019;1
PAÍS VASCO;1.2.-Lesiones;2018;5
PAÍS VASCO;1.2.-Lesiones;2017;13
PAÍS VASCO;1.2.-Lesiones;2016;12
PAÍS VASCO;1.2.-Lesiones;2015;8
PAÍS VASCO;1.2.-Lesiones;2014;18
PAÍS VASCO;1.2.-Lesiones;2013;8
PAÍS VASCO;1.2.-Lesiones;2012;18
PAÍS VASCO;1.2.-Lesiones;2011;15
PAÍS VASCO;1.2.-Lesiones;2010;11
PAÍS VASCO;3.1.-Agresión sexual;2023;23
PAÍS VASCO;3.1.-Agresión sexual;2022;8
PAÍS VASCO;3.1.-Agresión sexual;2021;5
PAÍS VASCO;3.1.-Agresión sexual;2020;22
PAÍS VASCO;3.1.-Agresión sexual;2019;5
PAÍS VASCO;3.1.-Agresión sexual;2018;6
PAÍS VASCO;3.1.-Agresión sexual;2017;5
PAÍS VASCO;3.1.-Agresión sexual;2016;4
PAÍS VASCO;3.1.-Agresión sexual;2015;2
PAÍS VASCO;3.1.-Agresión sexual;2014;1
PAÍS VASCO;3.1.-Agresión sexual;2013;1
PAÍS VASCO;3.1.-Agresión sexual;2012;2
PAÍS VASCO;3.1.-Agresión sexual;2011;5
PAÍS VASCO;3.1.-Agresión sexual;2010;3
PAÍS VASCO;3.2.-Agresión sexual con penetración;2023;3
PAÍS VASCO;3.2.-Agresión sexual con penetración;2022;6
PAÍS VASCO;3.2.-Agresión sexual con penetración;2021;2
PAÍS VASCO;3.2.-Agresión sexual con penetración;2020;1
PAÍS VASCO;3.2.-Agresión sexual con penetración;2019;1
PAÍS VASCO;3.2.-Agresión sexual con penetración;2018;4
PAÍS VASCO;3.2.-Agresión sexual con penetración;2017;3
PAÍS VASCO;3.2.-Agresión sexual con penetración;2016;0
PAÍS VASCO;3.2.-Agresión sexual con penetración;2015;2
PAÍS VASCO;3.2.-Agresión sexual con penetración;2014;4
PAÍS VASCO;3.2.-Agresión sexual con penetración;2013;0
PAÍS VASCO;3.2.-Agresión sexual con penetración;2012;0
PAÍS VASCO;3.2.-Agresión sexual con penetración;2011;0
PAÍS VASCO;3.2.-Agresión sexual con penetración;2010;0
PAÍS VASCO;5.1.-Hurtos;2023;25
PAÍS VASCO;5.1.-Hurtos;2022;38
PAÍS VASCO;5.1.-Hurtos;2021;8
PAÍS VASCO;5.1.-Hurtos;2020;12
PAÍS VASCO;5.1.-Hurtos;2019;41
PAÍS VASCO;5.1.-Hurtos;2018;11
PAÍS VASCO;5.1.-Hurtos;2017;16
PAÍS VASCO;5.1.-Hurtos;2016;54
PAÍS VASCO;5.1.-Hurtos;2015;28
PAÍS VASCO;5.1.-Hurtos;2014;34
PAÍS VASCO;5.1.-Hurtos;2013;38
PAÍS VASCO;5.1.-Hurtos;2012;27
PAÍS VASCO;5.1.-Hurtos;2011;23
PAÍS VASCO;5.1.-Hurtos;2010;40
PAÍS VASCO;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2023;2
PAÍS VASCO;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2022;0
PAÍS VASCO;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2021;2
PAÍS VASCO;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2020;0
PAÍS VASCO;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2019;1
PAÍS VASCO;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2018;0
PAÍS VASCO;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2017;2
PAÍS VASCO;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2016;0
PAÍS VASCO;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2015;1
PAÍS VASCO;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2014;1
PAÍS VASCO;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2013;4
PAÍS VASCO;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2012;2
PAÍS VASCO;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2011;7
PAÍS VASCO;5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2010;2
PAÍS VASCO;5.2.2.-Robos con fuerza en viviendas;2023;3
PAÍS VASCO;5.2.2.-Robos con fuerza en viviendas;2022;0
PAÍS VASCO;5.2.2.-Robos con fuerza en viviendas;2021;0
PAÍS VASCO;5.2.2.-Robos con fuerza en viviendas;2020;18
PAÍS VASCO;5.2.2.-Robos con fuerza en viviendas;2019;1
PAÍS VASCO;5.2.2.-Robos con fuerza en viviendas;2018;0
PAÍS VASCO;5.2.2.-Robos con fuerza en viviendas;2017;3
PAÍS VASCO;5.2.2.-Robos con fuerza en viviendas;2016;13
PAÍS VASCO;5.2.2.-Robos con fuerza en viviendas;2015;3
PAÍS VASCO;5.2.2.-Robos con fuerza en viviendas;2014;10
PAÍS VASCO;5.2.2.-Robos con fuerza en viviendas;2013;13
PAÍS VASCO;5.2.2.-Robos con fuerza en viviendas;2012;18
PAÍS VASCO;5.2.2.-Robos con fuerza en viviendas;2011;25
PAÍS VASCO;5.2.2.-Robos con fuerza en viviendas;2010;3
PAÍS VASCO;5.2.3.-Robos con fuerza en establecimientos;2023;6
PAÍS VASCO;5.2.3.-Robos con fuerza en establecimientos;2022;0
PAÍS VASCO;5.2.3.-Robos con fuerza en establecimientos;2021;1
PAÍS VASCO;5.2.3.-Robos con fuerza en establecimientos;2020;1
PAÍS VASCO;5.2.3.-Robos con fuerza en establecimientos;2019;3
PAÍS VASCO;5.2.3.-Robos con fuerza en establecimientos;2018;3
PAÍS VASCO;5.2.3.-Robos con fuerza en establecimientos;2017;2
PAÍS VASCO;5.2.3.-Robos con fuerza en establecimientos;2016;1
PAÍS VASCO;5.2.3.-Robos con fuerza en establecimientos;2015;2
PAÍS VASCO;5.2.3.-Robos con fuerza en establecimientos;2014;6
PAÍS VASCO;5.2.3.-Robos con fuerza en establecimientos;2013;15
PAÍS VASCO;5.2.3.-Robos con fuerza en establecimientos;2012;7
PAÍS VASCO;5.2.3.-Robos con fuerza en establecimientos;2011;17
PAÍS VASCO;5.2.3.-Robos con fuerza en establecimientos;2010;5
PAÍS VASCO;5.3.1.-Robos con violencia en vía pública;2023;3
PAÍS VASCO;5.3.1.-Robos con violencia en vía pública;2022;1
PAÍS VASCO;5.3.1.-Robos con violencia en vía pública;2021;1
PAÍS VASCO;5.3.1.-Robos con violencia en vía pública;2020;0
PAÍS VASCO;5.3.1.-Robos con violencia en vía pública;2019;1
PAÍS VASCO;5.3.1.-Robos con violencia en vía pública;2018;1
PAÍS VASCO;5.3.1.-Robos con violencia en vía pública;2017;1
PAÍS VASCO;5.3.1.-Robos con violencia en vía pública;2016;0
PAÍS VASCO;5.3.1.-Robos con violencia en vía pública;2015;0
PAÍS VASCO;5.3.1.-Robos con violencia en vía pública;2014;2
PAÍS VASCO;5.3.1.-Robos con violencia en vía pública;2013;2
PAÍS VASCO;5.3.1.-Robos con violencia en vía pública;2012;3
PAÍS VASCO;5.3.1.-Robos con violencia en vía pública;2011;2
PAÍS VASCO;5.3.1.-Robos con violencia en vía pública;2010;5
PAÍS VASCO;5.3.2.-Robos con violencia en viviendas;2023;0
PAÍS VASCO;5.3.2.-Robos con violencia en viviendas;2022;0
PAÍS VASCO;5.3.2.-Robos con violencia en viviendas;2021;0
PAÍS VASCO;5.3.2.-Robos con violencia en viviendas;2020;0
PAÍS VASCO;5.3.2.-Robos con violencia en viviendas;2019;0
PAÍS VASCO;5.3.2.-Robos con violencia en viviendas;2018;0
PAÍS VASCO;5.3.2.-Robos con violencia en viviendas;2017;0
PAÍS VASCO;5.3.2.-Robos con violencia en viviendas;2016;2
PAÍS VASCO;5.3.2.-Robos con violencia en viviendas;2015;0
PAÍS VASCO;5.3.2.-Robos con violencia en viviendas;2014;2
PAÍS VASCO;5.3.2.-Robos con violencia en viviendas;2013;0
PAÍS VASCO;5.3.2.-Robos con violencia en viviendas;2012;0
PAÍS VASCO;5.3.2.-Robos con violencia en viviendas;2011;0
PAÍS VASCO;5.3.2.-Robos con violencia en viviendas;2010;0
PAÍS VASCO;5.3.3.-Robos con violencia en establecimientos;2023;1
PAÍS VASCO;5.3.3.-Robos con violencia en establecimientos;2022;1
PAÍS VASCO;5.3.3.-Robos con violencia en establecimientos;2021;0
PAÍS VASCO;5.3.3.-Robos con violencia en establecimientos;2020;0
PAÍS VASCO;5.3.3.-Robos con violencia en establecimientos;2019;1
PAÍS VASCO;5.3.3.-Robos con violencia en establecimientos;2018;0
PAÍS VASCO;5.3.3.-Robos con violencia en establecimientos;2017;1
PAÍS VASCO;5.3.3.-Robos con violencia en establecimientos;2016;0
PAÍS VASCO;5.3.3.-Robos con violencia en establecimientos;2015;0
PAÍS VASCO;5.3.3.-Robos con violencia en establecimientos;2014;1
PAÍS VASCO;5.3.3.-Robos con violencia en establecimientos;2013;4
PAÍS VASCO;5.3.3.-Robos con violencia en establecimientos;2012;2
PAÍS VASCO;5.3.3.-Robos con violencia en establecimientos;2011;1
PAÍS VASCO;5.3.3.-Robos con violencia en establecimientos;2010;1
RIOJA (LA);1.1.1.-Homicidios dolosos/asesinatos consumados;2023;3
RIOJA (LA);1.1.1.-Homicidios dolosos/asesinatos consumados;2022;1
RIOJA (LA);1.1.1.-Homicidios dolosos/asesinatos consumados;2021;5
RIOJA (LA);1.1.1.-Homicidios dolosos/asesinatos consumados;2020;3
RIOJA (LA);1.1.1.-Homicidios dolosos/asesinatos consumados;2019;1
RIOJA (LA);1.1.1.-Homicidios dolosos/asesinatos consumados;2018;0
RIOJA (LA);1.1.1.-Homicidios dolosos/asesinatos consumados;2017;0
RIOJA (LA);1.1.1.-Homicidios dolosos/asesinatos consumados;2016;0
RIOJA (LA);1.1.1.-Homicidios dolosos/asesinatos consumados;2015;1
RIOJA (LA);1.1.1.-Homicidios dolosos/asesinatos consumados;2014;3
RIOJA (LA);1.1.1.-Homicidios dolosos/asesinatos consumados;2013;0
RIOJA (LA);1.1.1.-Homicidios dolosos/asesinatos consumados;2012;0
RIOJA (LA);1.1.1.-Homicidios dolosos/asesinatos consumados;2011;2
RIOJA (LA);1.1.1.-Homicidios dolosos/asesinatos consumados;2010;1
RIOJA (LA);1.2.-Lesiones;2023;637
RIOJA (LA);1.2.-Lesiones;2022;647
RIOJA (LA);1.2.-Lesiones;2021;556
RIOJA (LA);1.2.-Lesiones;2020;426
RIOJA (LA);1.2.-Lesiones;2019;482
RIOJA (LA);1.2.-Lesiones;2018;468
RIOJA (LA);1.2.-Lesiones;2017;451
RIOJA (LA);1.2.-Lesiones;2016;468
RIOJA (LA);1.2.-Lesiones;2015;477
RIOJA (LA);1.2.-Lesiones;2014;518
RIOJA (LA);1.2.-Lesiones;2013;574
RIOJA (LA);1.2.-Lesiones;2012;592
RIOJA (LA);1.2.-Lesiones;2011;676
RIOJA (LA);1.2.-Lesiones;2010;759
RIOJA (LA);3.1.-Agresión sexual;2023;73
RIOJA (LA);3.1.-Agresión sexual;2022;68
RIOJA (LA);3.1.-Agresión sexual;2021;63
RIOJA (LA);3.1.-Agresión sexual;2020;44
RIOJA (LA);3.1.-Agresión sexual;2019;56
RIOJA (LA);3.1.-Agresión sexual;2018;30
RIOJA (LA);3.1.-Agresión sexual;2017;32
RIOJA (LA);3.1.-Agresión sexual;2016;29
RIOJA (LA);3.1.-Agresión sexual;2015;23
RIOJA (LA);3.1.-Agresión sexual;2014;22
RIOJA (LA);3.1.-Agresión sexual;2013;19
RIOJA (LA);3.1.-Agresión sexual;2012;17
RIOJA (LA);3.1.-Agresión sexual;2011;37
RIOJA (LA);3.1.-Agresión sexual;2010;17
RIOJA (LA);3.2.-Agresión sexual con penetración;2023;17
RIOJA (LA);3.2.-Agresión sexual con penetración;2022;18
RIOJA (LA);3.2.-Agresión sexual con penetración;2021;12
RIOJA (LA);3.2.-Agresión sexual con penetración;2020;11
RIOJA (LA);3.2.-Agresión sexual con penetración;2019;14
RIOJA (LA);3.2.-Agresión sexual con penetración;2018;7
RIOJA (LA);3.2.-Agresión sexual con penetración;2017;6
RIOJA (LA);3.2.-Agresión sexual con penetración;2016;7
RIOJA (LA);3.2.-Agresión sexual con penetración;2015;9
RIOJA (LA);3.2.-Agresión sexual con penetración;2014;3
RIOJA (LA);3.2.-Agresión sexual con penetración;2013;4
RIOJA (LA);3.2.-Agresión sexual con penetración;2012;9
RIOJA (LA);3.2.-Agresión sexual con penetración;2011;9
RIOJA (LA);3.2.-Agresión sexual con penetración;2010;12
RIOJA (LA);5.1.-Hurtos;2023;857
RIOJA (LA);5.1.-Hurtos;2022;773
RIOJA (LA);5.1.-Hurtos;2021;487
RIOJA (LA);5.1.-Hurtos;2020;431
RIOJA (LA);5.1.-Hurtos;2019;642
RIOJA (LA);5.1.-Hurtos;2018;608
RIOJA (LA);5.1.-Hurtos;2017;600
RIOJA (LA);5.1.-Hurtos;2016;583
RIOJA (LA);5.1.-Hurtos;2015;609
RIOJA (LA);5.1.-Hurtos;2014;603
RIOJA (LA);5.1.-Hurtos;2013;671
RIOJA (LA);5.1.-Hurtos;2012;638
RIOJA (LA);5.1.-Hurtos;2011;651
RIOJA (LA);5.1.-Hurtos;2010;715
RIOJA (LA);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2023;43
RIOJA (LA);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2022;33
RIOJA (LA);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2021;31
RIOJA (LA);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2020;16
RIOJA (LA);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2019;37
RIOJA (LA);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2018;38
RIOJA (LA);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2017;20
RIOJA (LA);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2016;33
RIOJA (LA);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2015;36
RIOJA (LA);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2014;63
RIOJA (LA);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2013;37
RIOJA (LA);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2012;32
RIOJA (LA);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2011;23
RIOJA (LA);5.2.1.-Robos con fuerza en las cosas en el interior de vehículos;2010;46
RIOJA (LA);5.2.2.-Robos con fuerza en viviendas;2023;93
RIOJA (LA);5.2.2.-Robos con fuerza en viviendas;2022;59
RIOJA (LA);5.2.2.-Robos con fuerza en viviendas;2021;57
RIOJA (LA);5.2.2.-Robos con fuerza en viviendas;2020;72
RIOJA (LA);5.2.2.-Robos con fuerza en viviendas;2019;51
RIOJA (LA);5.2.2.-Robos con fuerza en viviendas;2018;58
RIOJA (LA);5.2.2.-Robos con fuerza en viviendas;2017;97
RIOJA (LA);5.2.2.-Robos con fuerza en viviendas;2016;60
RIOJA (LA);5.2.2.-Robos con fuerza en viviendas;2015;132
RIOJA (LA);5.2.2.-Robos con fuerza en viviendas;2014;72
RIOJA (LA);5.2.2.-Robos con fuerza en viviendas;2013;119
RIOJA (LA);5.2.2.-Robos con fuerza en viviendas;2012;66
RIOJA (LA);5.2.2.-Robos con fuerza en viviendas;2011;32
RIOJA (LA);5.2.2.-Robos con fuerza en viviendas;2010;39
RIOJA (LA);5.2.3.-Robos con fuerza en establecimientos;2023;62
RIOJA (LA);5.2.3.-Robos con fuerza en establecimientos;2022;40
RIOJA (LA);5.2.3.-Robos con fuerza en establecimientos;2021;35
RIOJA (LA);5.2.3.-Robos con fuerza en establecimientos;2020;29
RIOJA (LA);5.2.3.-Robos con fuerza en establecimientos;2019;38
RIOJA (LA);5.2.3.-Robos con fuerza en establecimientos;2018;37
RIOJA (LA);5.2.3.-Robos con fuerza en establecimientos;2017;36
RIOJA (LA);5.2.3.-Robos con fuerza en establecimientos;2016;44
RIOJA (LA);5.2.3.-Robos con fuerza en establecimientos;2015;40
RIOJA (LA);5.2.3.-Robos con fuerza en establecimientos;2014;33
RIOJA (LA);5.2.3.-Robos con fuerza en establecimientos;2013;56
RIOJA (LA);5.2.3.-Robos con fuerza en establecimientos;2012;39
RIOJA (LA);5.2.3.-Robos con fuerza en establecimientos;2011;39
RIOJA (LA);5.2.3.-Robos con fuerza en establecimientos;2010;58
RIOJA (LA);5.3.1.-Robos con violencia en vía pública;2023;39
RIOJA (LA);5.3.1.-Robos con violencia en vía pública;2022;30
RIOJA (LA);5.3.1.-Robos con violencia en vía pública;2021;26
RIOJA (LA);5.3.1.-Robos con violencia en vía pública;2020;19
RIOJA (LA);5.3.1.-Robos con violencia en vía pública;2019;15
RIOJA (LA);5.3.1.-Robos con violencia en vía pública;2018;19
RIOJA (LA);5.3.1.-Robos con violencia en vía pública;2017;14
RIOJA (LA);5.3.1.-Robos con violencia en vía pública;2016;25
RIOJA (LA);5.3.1.-Robos con violencia en vía pública;2015;33
RIOJA (LA);5.3.1.-Robos con violencia en vía pública;2014;45
RIOJA (LA);5.3.1.-Robos con violencia en vía pública;2013;25
RIOJA (LA);5.3.1.-Robos con violencia en vía pública;2012;35
RIOJA (LA);5.3.1.-Robos con violencia en vía pública;2011;33
RIOJA (LA);5.3.1.-Robos con violencia en vía pública;2010;34
RIOJA (LA);5.3.2.-Robos con violencia en viviendas;2023;8
RIOJA (LA);5.3.2.-Robos con violencia en viviendas;2022;5
RIOJA (LA);5.3.2.-Robos con violencia en viviendas;2021;5
RIOJA (LA);5.3.2.-Robos con violencia en viviendas;2020;1
RIOJA (LA);5.3.2.-Robos con violencia en viviendas;2019;3
RIOJA (LA);5.3.2.-Robos con violencia en viviendas;2018;5
RIOJA (LA);5.3.2.-Robos con violencia en viviendas;2017;5
RIOJA (LA);5.3.2.-Robos con violencia en viviendas;2016;3
RIOJA (LA);5.3.2.-Robos con violencia en viviendas;2015;5
RIOJA (LA);5.3.2.-Robos con violencia en viviendas;2014;7
RIOJA (LA);5.3.2.-Robos con violencia en viviendas;2013;5
RIOJA (LA);5.3.2.-Robos con violencia en viviendas;2012;8
RIOJA (LA);5.3.2.-Robos con violencia en viviendas;2011;8
RIOJA (LA);5.3.2.-Robos con violencia en viviendas;2010;6
RIOJA (LA);5.3.3.-Robos con violencia en establecimientos;2023;20
RIOJA (LA);5.3.3.-Robos con violencia en establecimientos;2022;23
RIOJA (LA);5.3.3.-Robos con violencia en establecimientos;2021;21
RIOJA (LA);5.3.3.-Robos con violencia en establecimientos;2020;16
RIOJA (LA);5.3.3.-Robos con violencia en establecimientos;2019;16
RIOJA (LA);5.3.3.-Robos con violencia en establecimientos;2018;8
RIOJA (LA);5.3.3.-Robos con violencia en establecimientos;2017;14
RIOJA (LA);5.3.3.-Robos con violencia en establecimientos;2016;16
RIOJA (LA);5.3.3.-Robos con violencia en establecimientos;2015;8
RIOJA (LA);5.3.3.-Robos con violencia en establecimientos;2014;20
RIOJA (LA);5.3.3.-Robos con violencia en establecimientos;2013;19
RIOJA (LA);5.3.3.-Robos con violencia en establecimientos;2012;14
RIOJA (LA);5.3.3.-Robos con violencia en establecimientos;2011;28
RIOJA (LA);5.3.3.-Robos con violencia en establecimientos;2010;35
CIUDAD AUTÓNOMA DE CEUTA;1.1.1.-Homicidios dolosos/asesinatos consumados;2023;6
CIUDAD AUTÓNOMA DE CEUTA;1.1.1.-Homicidios dolosos/asesinatos consumados;2022;3
CIUDAD AUTÓNOMA DE CEUTA;1.1.1.-Homicidios dolosos/asesinatos consumados;2021;2
CIUDAD AUTÓNOMA DE CEUTA;1.1.1.-Homicidios dolosos/asesinatos consumados;2020;2
CIUDAD AUTÓNOMA DE CEUTA;1.1.1.-Homicidios dolosos/asesinatos consumados;2019;4
CIUDAD AUTÓNOMA DE CEUTA;1.1.1.-Homicidios dolosos/asesinatos consumados;2018;1
CIUDAD AUTÓNOMA DE CEUTA;1.1.1.-Homicidios dolosos/asesinatos consumados;2017;1
CIUDAD AUTÓNOMA DE CEUTA;1.1.1.-Homicidios dolosos/asesinatos consumados;2016;4
CIUDAD AUTÓNOMA DE CEUTA;1.1.1.-Homicidios dolosos/asesinatos consumados;2015;2
CIUDAD AUTÓNOMA DE CEUTA;1.1.1.-Homicidios dolosos/asesinatos consumados;2014;4
CIUDAD AUTÓNOMA DE CEUTA;1.1.1.-Homicidios dolosos/asesinatos consumados;2013;2
CIUDAD AUTÓNOMA DE CEUTA;1.1.1.-Homicidios dolosos/asesinatos consumados;2012;0
CIUDAD AUTÓNOMA DE CEUTA;1.1.1.-Homicidios dolosos/asesinatos consumados;2011;3
CIUDAD AUTÓNOMA DE CEUTA;1.1.1.-Homicidios dolosos/asesinatos consumados;2010;1
CIUDAD AUTÓNOMA DE CEUTA;1.2.-Lesiones;2023;311
CIUDAD AUTÓNOMA DE CEUTA;1.2.-Lesiones;2022;361
CIUDAD AUTÓNOMA DE CEUTA;1.2.-Lesiones;2021;419
CIUDAD AUTÓNOMA DE CEUTA;1.2.-Lesiones;2020;342
CIUDAD AUTÓNOMA DE CEUTA;1.2.-Lesiones;2019;354
CIUDAD AUTÓNOMA DE CEUTA;1.2.-Lesiones;2018;349
CIUDAD AUTÓNOMA DE CEUTA;1.2.-Lesiones;2017;368
CIUDAD AUTÓNOMA DE CEUTA;1.2.-Lesiones;2016;345
CIUDAD AUTÓNOMA DE CEUTA;1.2.-Lesiones;2015;357
CIUDAD AUTÓNOMA DE CEUTA;1.2.-Lesiones;2014;314
CIUDAD AUTÓNOMA DE CEUTA;1.2.-Lesiones;2013;326
CIUDAD AUTÓNOMA DE CEUTA;1.2.-Lesiones;2012;313
CIUDAD AUTÓNOMA DE CEUTA;1.2.-Lesiones;2011;353
CIUDAD AUTÓNOMA DE CEUTA;1.2.-Lesiones;2010;328
CIUDAD AUTÓNOMA DE CEUTA;3.1.-Agresión sexual;2023;29
CIUDAD AUTÓNOMA DE CEUTA;3.1.-Agresión sexual;2022;33
CIUDAD AUTÓNOMA DE CEUTA;3.1.-Agresión sexual;2021;27
CIUDAD AUTÓNOMA DE CEUTA;3.1.-Agresión sexual;2020;20
CIUDAD AUTÓNOMA DE CEUTA;3.1.-Agresión sexual;2019;13
CIUDAD AUTÓNOMA DE CEUTA;3.1.-Agresión sexual;2018;29
CIUDAD AUTÓNOMA DE CEUTA;3.1.-Agresión sexual;2017;12
CIUDAD AUTÓNOMA DE CEUTA;3.1.-Agresión sexual;2016;17
CIUDAD AUTÓNOMA DE CEUTA;3.1.-Agresión sexual;2015;9
CIUDAD AUTÓNOMA DE CEUTA;3.1.-Agresión sexual;2014;6
CIUDAD AUTÓNOMA DE CEUTA;3.1.-Agresión sexual;2013;8
CIUDAD AUTÓNOMA DE CEUTA;3.1.-Agresión sexual;2012;11
CIUDAD AUTÓNOMA DE CEUTA;3.1.-Agresión sexual;2011;10
